iter	Passed	Remaining
967	11036	364
968	11046	353
969	11054	341
970	11062	330
971	11071	318
972	11078	307
973	11088	295
974	11096	284
975	11106	273
976	11115	261
977	11127	250
978	11135	238
979	11147	227
980	11154	216
981	11172	204
982	11184	193
983	11196	182
984	11211	170
985	11220	159
986	11229	147
987	11235	136
988	11242	125
989	11249	113
990	11259	102
991	11264	90
992	11271	79
993	11277	68
994	11283	56
995	11289	45
996	11295	33
997	11301	22
998	11308	11
999	11315	0
1289	11
999	11294	0
